Frequency(Hz),IC(Re),IC(-Im)
146.8662,48668.674,3084.101
144.9589,48668.651,3066.285
143.0515,48707.748,3075.411
141.1442,48743.357,3084.318
139.2368,48746.829,3086.765
137.3295,48782.441,3086.763
135.4221,48818.054,3082.308
133.5148,48853.666,3088.988
131.6074,48896.289,3080.52
129.7,48892.763,3071.389
127.7927,48928.379,3073.614
125.8853,48963.995,3080.295
123.978,49006.638,3076.28
122.0706,49042.26,3076.279
120.1633,49042.241,3080.733
118.2559,49117.026,3080.953
116.3486,49117.008,3080.952
114.4412,49149.109,3069.592
112.5339,49184.732,3082.956
110.6265,49227.415,3072.258
108.7192,49263.044,3072.257
106.8118,49295.138,3080.946
104.9044,49334.302,3074.482
102.9971,49369.932,3065.57
101.0897,49405.562,3067.797
99.1824,49448.284,3059.323
97.275,49480.371,3065.787
95.3677,49516.005,3056.874
93.4603,49551.638,3065.785
91.553,49630.039,3057.31
89.6456,49665.679,3046.168
87.7383,49701.318,3052.852
85.8309,49736.958,3048.394
83.9236,49772.598,3041.708
82.0162,49843.893,3050.621
80.1089,49879.533,3030.565
78.2015,49922.336,3033.228
76.2941,49993.641,3022.084
74.3868,50064.947,3028.769
72.4794,50100.594,3013.167
70.5721,50175.499,3015.612
68.6647,50211.149,2991.094
66.7574,50282.461,3004.466
64.85,50357.386,2989.078
62.9427,50428.703,2989.078
61.0353,50500.021,2993.535
59.128,50535.675,2984.618
57.2206,50610.624,2958.082
55.3133,50681.948,2964.769
53.4059,50753.272,2955.852
51.4985,50824.596,2944.706
49.5912,50899.573,2924.853
47.6838,50970.903,2922.623
45.7765,51042.233,2907.017
43.8691,51152.903,2896.078
41.9618,51224.239,2860.406
40.0544,51331.246,2851.488
38.1471,51438.254,2820.275
36.2397,51548.962,2798.181
34.3324,51655.978,2766.966
32.425,51798.669,2733.521
30.5177,51941.359,2713.454
28.6103,52087.789,2651.215
26.703,52194.814,2611.079
24.7956,52337.516,2553.104
22.8882,52515.895,2470.602
20.9809,52662.377,2401.651
19.0735,52840.769,2301.303
17.1662,53019.162,2193.15
15.2588,53201.373,2071.767
13.3515,53415.461,1902.279
11.4441,53629.549,1718.295
9.5368,53875.451,1488.488
7.6294,54418.448,1841.083
5.7221,54703.921,1731.8
3.8147,55060.762,1536.652
1.9074,55457.27,1484.347
0.9537,56028.258,1677.279
0.4768,56599.247,2160.166
0.2384,57459.855,2980.061
0.1192,58543.145,4096.235
0.0596,59921.149,5744.824
0.0298,61505.277,8246.568
0.0149,63946.749,11692.557
